country,gdp60vus,gdpgr,noneqinv,equipinv,lfgr6085,continent
France,-0.689745009,0.028902,0.181136683,0.081263311,0.008865,3
Germany,-0.656425714,0.025479,0.207929075,0.07787092,0.004646,3
Denmark,-0.646000326,0.021302,0.192599997,0.0735,0.011432,3
Trinidad,-0.630029678,0.016218999,0.165800005,0.0385,0.018834,4
Belgium,-0.600903511,0.024909001,0.170819998,0.063479997,0.006102,3
Iceland,-0.590964317,0.020134,,,0.024402,3
U.K.,-0.582575917,0.018828001,0.115800001,0.068599999,0.004816,3
Norway,-0.575552583,0.027378,0.190540001,0.101360001,0.014869,3
Sweden,-0.508731186,0.019944999,0.194299996,0.050999999,0.010339,3
Netherlands,-0.448254704,0.021632999,0.177790001,0.080810003,0.014528,3
Australia,-0.328222185,0.016556,0.221000001,0.094999999,0.022756999,5
New Zealand,-0.240638196,0.006114,,,0.019878,5
Switzerland,-0.212300107,0.015474,0.244900003,0.052999999,0.009457,3
Canada,-0.169055507,0.014548,0.14745,0.086049996,0.025801999,4
U.S.,0,0.013301,0.145099998,0.066699997,0.018707,4
