"IMF_SBA","IMF_PRGF_ESF","IMF_All","GDP_pctchng","IP_pctchng","FX_FebSep_chng","FX_JunJun_chng","Equity_SepFeb_chng","Equity_SepFeb_Sharpe","Equity_JunJun_chng","Equity_JunJun_Sharpe","EquityVarDummy","FXVarDummy","GDPVarDummy","IPVarDummy","fx_res_index","Savings_pct_GNI","AgriExports_pct_MerchExp","AgriImp_pct_MerchImp","AgriValueAdd_pct_GDP","AgriValueAdd_pct_Growth","Aid_pct_GNI","BankLiquidRestoAss","BusinessDisclosure","ReservesChangesUSD","ClaimsOnGovOtherPublicLCU","ClaimOnGov_pct_anngrowth","ClaimsOnPriv_pct_anngrowth","CPIlevel","CreditDepthofInfo","CA_pct_GDP","CAUSD","CurrentTransfersReceiptsUSD","ExtDebtServicePPGIMF_pct_Exports","ExtDebtServicePPGUSD","ExtDebtServiceTotalUSD","DepositInterestRate","domesticcreditbybanks_pct_gdp","domesticcredittotal_pct_gdp","ExportsAsCapacityToImport","Exports_pct_GDP","Exports_pct_GrowthAnn","ExportsUSDBoP","Exports2000USD","ExportsconstantLCU","ExportscurrentLCU","ExportsUSD","ExportsAndIncomeBoPUSD","TradeBalance_pct_GDP","TradeBalanceLCUconst","TradeBalanceLCUcurrent","TradeBalanceUSDcurrent","Consumption_pct_GDP","FinancingViaInterCapMarkets_pct_GDP","FoodExp_pct_Exp","FoodImp_pct_Imp","FDIcurrentUSD","FDIinflows_pct_GDP","FDIinflowsUSD","FDIoutflows_pct_GDP","GDPUSD2000","GDPLCUconstant","GDPLCUcurrent","GDPcurrentUSD","GDPdeflator","GDPgrowth_pct_","GDPpercapita2000USD","GDPpercapitaLCUconstant","GDPpercapitaCurrentUSD","GDPpercapitaGrowth","GDPpercapitaPPP2005USD","GDPpercapitaPPPcurrentUSD","GDPPPP2005USD","GDPPPPcurrentUSD","GovExp_pct_GDP","GovExp_pct_Growth","GovExp2000USD","GovExpconstnantLCU","GovExpcurrentLCU","GovExpcurrentUSD","GNIcurrentLCU","GNIUSD","GNIPPPUSD","GoodsExpUSD","GoodsImpUSD","Investment_pct_GDP","Investment_pct_growth","SavingsDomestic_pct_GDP","SavingsGross_pct_GDP","SavingsGross_pct_GNI","SavingsGrossLCUcurrent","SavingsGrossUSD","Consumption_pct_Growth","ConsumptionUSD2000","ConsumptionLCUconstant","ConsumptionLCUcurrent","ConsumptionUSD","Imports_pct_GDP","Imports_pct_Growth","ImportsBoPUSD","ImportsUSD2000","ImportsLCUconstant","Importscurrent","ImportsUSD","ImportsandIncomeBoPUSD","dontuse10","GDPdeflator_pct_annual","LendingMinusDepositRate","LendingRate","M3_pct_GDP","ManufactureExports_pct_Total","ManufactureImports_pct_total","StockMarketCap_pct_GDP","StockMarkCapUSDcurrent","ExportsMerchUSD","ImportsMerchUSD","MerchandiseTrade_pct_GDP","M1LCU","M2LCU","M2_pct_GDP","M2toTotal_Reserves","M2growth_pct_","MultilateralDebtService_pct_PPGDebtService","MultilateralDebtServUSD","CapitalAccountUSD","CurrentTransfersUSD","DomesticCreditLCU","FinancialFlowsUSD","ForeignAssetsNetLCUcurrent","IncomeNetBoPUSD","IncomefromabroadLCUcurrent","IncomefromabroadUSDcurrent","PortfolioInvBondsUSD","PortfolioInvEquityUSD","other","DebtExternalPVof_pct_Exports","DebtExternalPV_pct_GNI","DebtExternalPVUSD","DebtServicePPG_pct_Exports","DebtServicePPG_pct_GNI","quasi_liq_liab_pct_GDP","REER","RealInterestRate","ServiceExportsUSD","ServiceImportsUSD","DebtST_pct_Exports","DebtST_pct_TotalExternal","DebtST_pct_Reserves","LegalRightsIndex","TermsofTradeAdjustment","DebtService_pct_GNI","Reserves_pct_ExtDebt","ReservesUSD","ReservesInMonthsImports","ReservesLessGold","Services_pct_GDP","Unemployment_pct_","IMFcreditUSD","RemittancesPaidUSD","RemittancesReceived_pct_GDP","RemittancesReceivedUSD","RemittancesNetUSD","GDPgrowth2007","GDPGrowthLast5yrs","GDPGrowthLastTenYears","CPI2007","CPIAvLast5Years","CPIAvLast10Years","CA2007_pct_GDP","CAAvLast5Yrs_pct_GDP","CAAvLast10yrs_pct_GDP","WDIDummy","EuroArea","peg","financiallyclosed","LowIncome","MiddleIncome","UpperIncome","OECD","SouthAsia","EuropeCentralAsia","MENA","EAPacific","SubSaharan","LatAmCarribean","NorthAmerica","Equity5yr_pct_chng","Equity5yrSharpe","REER5yr_pct_rise","REERDevFrom10yrAv","credit_domestic_pct_gdp","credit_domestic_pctGDP_5yr_rise","credit_domestic_pctGDP_10yr_rise","m3_5yr_chng","m2_5yr_chng"
"Colombia",0,0,0,-0.00514381,-0.069634703,-0.188866254,-0.107155355,-0.19777146,-0.642081431,0.07633587,0.247830726,1,1,1,1,0.017561599,7.4798,4.2728,1.3905,8.9163,3.9251,0.3656,5.8135,8,-4703908811,12200000000000,-6.875,30.7958,110.0783,5,-2.809,-5836787520,5641559193,13.4944,4865521000,8911571000,8.0139,41.5584,32.7337,60700000000000,16.8741,11.3945,34212688696,23179639806,48400000000000,72900000000000,35062015267,36072884190,-4.1687,-27300000000000,-18000000000000,-8661882056,79.8434,3.0941,15.2599,9.1584,8135991547,4.3505,9039770000,0.4393,131000000000,274000000000000,432000000000000,208000000000,157.7723,7.5459,2980.2743,6222526.133,4723.7948,6.2061,8109.0303,8586.7876,357000000000,378000000000,16.5511,4.5167,23977488810,50100000000000,71500000000000,34390820763,415000000000000,200000000000,363000000000,30576668104,31173146505,24.3253,13.7127,20.1566,NA,NA,NA,NA,7.6095,86048215638,180000000000000,273000000000000,132000000000,21.0428,13.853,37416111055,36242004296,75700000000000,90900000000000,43723897324,47140899162,5.5438,4.7522,7.3679,15.3819,22.5863,39.1914,82.5517,49.0679,102000000000,29991410000,32897045000,30.266,43400000000000,97500000000000,21.3897,2.24,11.8518,38.995,1897309000,0,5231227453,170000000000000,-112630000,43200000000000,-7864592613,-16400000000000,-7885878210,209708000,790100000,890596710,133.3322,27.7985,45908377270,13.488,2.434,12.5454,116.0042,10.1474,3636020592,6242964550,13.1859,11.8928,25.5301,5,12300000000000,4.458,46.5837,20951443768,5.3333,20767268393,4.7544,10.86,0,95057000,2.1768,4523034000,4492576718,7.5459,5.8972,3.34169,5.5438,5.58482,8.10147,-2.809,-1.56092,-1.36344,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.482971423,1.678738796,0.308191045,0.130679868,0.392835575,-0.002791506,-0.015219295,-5.077251592,3.851480093
"Comoros",0,1,1,NA,NA,-0.111561251,-0.109612009,NA,NA,NA,NA,0,1,0,0,0.324135875,-1.069,NA,0.2395,45.3437,3,9.5215,61.4989,6,NA,2956465006,0.2076,4.4678,NA,0,NA,NA,NA,NA,26084000,26268000,2.5,12.1242,9.7332,11009668703,12.1653,6.4768,NA,29262094.05,11009668703,20331442409,56562644.06,NA,-25.1836,-22791258453,-42088383506,-117091065.5,111.4099,0,13.785,19.5114,NA,0.1721,800000,NA,235544353.6,88622000000,167000000000,464949228,188.583,0.491,374.8259,141025.7498,739.8819,-1.8764,1095.9048,1160.4719,688677627.8,729252242.6,12.3282,0.4317,29653739.67,11157022769,20603559652,57319681.88,168000000000,466943942.1,732380863.3,NA,NA,13.7738,43.7106,-11.4099,9.1126,9.0737,15229596977,42369166.72,0.6336,239795772.6,90221568166,167000000000,463517167,37.349,7.8391,NA,89837935.72,33800927157,62419825915,173653709.6,NA,NA,5.1835,8,10.5,26.3835,6.327,53.4471,NA,NA,13000000,140000000,32.9068,32085500472,44609749334,25.6229,1.0549,8.7104,99.2562,25890000,NA,NA,19431127985,0,43666109890,NA,NA,NA,0,0,NA,156.9301,45.0552,185944972.9,NA,5.5861,4.6768,NA,5.0545,NA,NA,NA,4.0717,10.072,3,0,5.6255,40.4258,117643067.4,NA,117160326.1,NA,NA,0,NA,2.5809,12000000,NA,0.491,1.63952,2.03128,NA,NA,NA,NA,NA,NA,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,0.116266338,0.029534787,0.003455878,1.962956581,0.077967016
"Congo_Dem_Rep",0,0,0,NA,NA,-0.287510321,-0.272199211,NA,NA,NA,NA,0,1,0,0,-0.016299224,5.0708,NA,NA,41.0843,3,13.0605,13.651,3,NA,84266359886,5.1233,17.5674,132.2096,0,NA,NA,NA,1.6063,498134000,574766000,NA,5.4705,3.7333,1.4515,27.1902,9.9,NA,1565910648,0.9045,1400000000000,2705363602,NA,-10.7793,-1.1225,-554000000000,-1072518316,91.2155,0,NA,NA,NA,7.2363,720000000,NA,5955709801,2.0683,5140000000000,9949781319,249000000000000,6.2566,95.4453,NA,159.4536,3.2675,287.8664,304.8265,17962639173,19020938638,10.3791,NA,NA,NA,534000000000,1032700193,4820000000000,9314671736,17806803371,NA,NA,19.5638,NA,8.7845,8.2608,8.824,425000000000,821927226.5,NA,NA,NA,3800000000000,7342106118,37.9695,9.2,NA,3020040096,2.0269,1950000000000,3777881918,NA,16.9451,17.6755,NA,NA,12.4656,NA,NA,NA,NA,2650000000,3300000000,59.8003,300000000000,641000000000,10.3687,6.8681,50.7026,37.6461,187528000,NA,NA,281000000000,-138209000,-173000000000,NA,-328000000000,-635109582.9,0,0,NA,326.3589,111.4532,8731187349,NA,5.3478,6.6283,31.925,NA,NA,NA,NA,5.0589,343.909,3,0.547,6.1705,1.471,180677440.8,NA,180677440.8,NA,NA,808246000,NA,NA,NA,NA,6.2566,6.43156,2.07319,16.9451,13.6366,128.75928,NA,NA,NA,1,0,NA,NA,1,0,0,0,0,0,0,0,1,0,0,NA,NA,-0.21045525,-0.430035363,0.054705058,0.052852552,NA,7.570804974,6.173300069
"Congo_Rep",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00000152,32.0019,NA,NA,5.0462,NA,2.287,74.125,6,-88084285.68,-484000000000,-4.1645,1.0415,109.3679,2,-28.5258,-2181039951,42982323.73,10.9474,72968000,73527000,4.25,-10.0914,2.4846,NA,73.0106,NA,6127484956,NA,NA,2680000000000,5582274599,6150853986,30.099,NA,1100000000000,2301318336,42.7651,0,NA,NA,2638405260,56.102,4289470000,NA,4156246156,610000000000,3660000000000,7645842505,601.0747,-1.59,1170.4093,171676.5117,2153.0883,-3.3922,3517.0795,3724.2942,12489518543,13225359789,14.0896,NA,NA,NA,516000000000,1077270081,2660000000000,5547865334,9596393733,5808038656,2858115876,27.136,NA,57.2349,NA,NA,NA,NA,NA,NA,NA,735000000000,1533681675,42.9116,NA,6385796202,NA,NA,1570000000000,3280956263,8293919263,2.6564,-7.8908,10.75,15,19.5028,NA,NA,NA,NA,5735007835,2850000000,112.2833,624000000000,715000000000,18.8593,0.6829,7.0651,44.4948,32467000,31715112.65,-37974674.36,-370000000000,-19003000,1100000000000,-1884754030,NA,NA,0,0,-1460564.398,87.7166,93.089,5112736103,1.1863,1.3152,2.4838,NA,24.8518,319446299.1,3527680326,5.069,6.0469,14.2787,3,NA,1.3253,42.3491,2183569354,3.1593,2174293052,50.3166,NA,37262000,102239000,0.1938,14814000,NA,-1.59,3.53358,3.49679,2.6564,2.81734,NA,-28.5258,2.92794,1.04701,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,-0.100913656,-0.214815029,-0.268208042,5.645030146,5.801626959
"Costa_Rica",1,0,1,-0.023249998,NA,-0.02214394,-0.096843183,NA,NA,NA,NA,0,1,1,0,0.295061732,6.7886,2.2373,1.0425,8.707,7.123,0.207,16.8528,2,-1147708624,226000000000,-7.036,53.7413,121.9012,5,-6.0066,-1577775623,734431793.4,2.4822,338008000,627987000,6.3508,47.4934,44.4045,990000000000,48.8094,10.0026,12895274067,12047398071,1180000000000,6620000000000,12820833443,13617334182,-4.8268,93805920256,-655000000000,-1267866397,80.2103,0.1185,29.998,7.9982,1633691258,7.2185,1896100000,0.999,22845564460,2040000000000,13600000000000,26267157320,665.471,7.7955,5119.8069,456987.8414,5886.6032,6.2633,10239.0627,10842.3145,45688669681,48380495433,13.3403,2.1719,2387597173,159000000000,1810000000000,3504107976,13200000000000,25468252189,46909021927,9265612336,12289617174,24.6165,-1.2765,19.7897,18.5429,19.1246,2520000000000,4870697650,7.4176,14052454708,1300000000000,9070000000000,17564864904,53.6362,4.4782,14092285661,11031363720,1090000000000,7280000000000,14088699840,15664700243,9.3573,9.2978,6.4475,12.7983,27.0657,62.5381,74.3542,7.7483,2035260000,9337044000,12952400000,84.8567,2240000000000,3670000000000,24.956,1.7275,18.468,60.8341,205624000,21167300,469590437.6,6440000000000,2208000,1800000000000,-850354466.9,-413000000000,-798905131.6,-24852000,0,-392525.016,62.0216,35.3041,7817457730,2.4822,1.3272,10.1965,95.3242,3.2028,3629661731,1802668487,20.84,37.7503,71.9742,5,-192000000000,2.4658,52.4498,4115350456,3.1526,4113616256,20.6811,4.61,0,271410000,2.4187,635325000,595632087.5,7.7955,6.6251,5.55249,9.3573,11.27768,10.94847,-6.0066,-4.9793,-4.60048,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,0.009586918,0.030576905,0.474934034,0.100955249,0.182916254,5.721070862,5.379460814
"Cote_d_Ivoire",0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0.00000152,-0.3722,8.8327,0.5767,23.8537,1.7936,0.8727,8.1615,6,-458799427.9,431000000000,3.7444,10.531,104.4039,1,-0.7375,-145993844.2,459034525.2,2.0996,153956000,430118000,3.5,20.685,16.1449,3290000000000,46.5848,-9.89,9418971153,5939015742,4170000000000,4420000000000,9221790776,9633882772,5.639,1280000000000,535000000000,1116287998,85.7359,0.4193,39.4818,17.4065,426902108.5,2.1565,426900000,NA,10667654660,6890000000000,9490000000000,19795721383,137.7091,1.7142,530.1279,342371.7062,983.7461,-0.5573,1527.9515,1617.9733,30746655811,32558147379,8.3911,2.5,920327188.2,832000000000,796000000000,1661078272,9060000000000,18912706279,31105846887,8475863856,5931623270,8.6251,-1.68,14.2641,7.8883,8.2566,748000000000,1561551286,NA,NA,NA,6530000000000,13628570217,40.9457,1.34,8375648273,4428997292,2890000000000,3880000000000,8105502778,9400755829,1.8896,2.7129,NA,NA,29.8984,18.0873,48.787,42.1954,8352890000,8476000000,6160000000,73.9352,1980000000000,2840000000000,27.0429,2.3496,23.6114,95.8046,147497000,88885776.25,-379120787.4,1960000000000,16430000,1090000000000,-810195937,NA,NA,0,147500000,93684773.56,123.1539,67.1111,11444980734,1.5981,0.814,8.9943,117.9675,NA,943107297.3,2444025004,15.8046,10.924,60.4455,3,-880000000000,2.2742,18.0724,2518959978,3.2154,2518959978,17.1104,NA,173467000,18987000,0.9065,179440000,NA,1.7142,0.77856,0.50795,1.8896,2.60776,2.83658,-0.7375,1.19212,0.65293,1,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.206850302,-0.004091335,-0.044963998,0.026459819,0.614880907
"Croatia",0,0,0,-0.063256876,-0.12300885,-0.149420403,-0.113764831,-0.612164217,-4.021100709,-0.47141117,-3.096541317,1,1,1,1,0.203533544,11.2522,3.5575,1.1104,6.0641,1.3882,0.2872,17.6011,1,-981910498.6,17659938096,-0.7499,14.1707,106.175,3,-7.5916,-4445525277,2164441814,9.281,2497305000,9072854000,2.3358,72.5787,63.0925,118000000000,42.7885,4.2877,25108024035,13370512754,111000000000,134000000000,25056181400,26867789291,-7.5622,-28563828000,-23762162000,-4428287924,78.6709,8.6445,10.4577,7.9583,4735821543,8.3946,4915750000,0.4204,29440402527,244000000000,314000000000,58558231254,128.9528,5.4714,6636.7272,54930.99,13200.7369,5.5669,16814.9192,18308.162,74590678959,81214677002,18.5379,3.3799,5299596379,43863800000,58250415000,10855477262,306000000000,57054874898,79129665242,12622711811,25556134261,28.8913,8.9137,21.3291,21.2047,21.7634,66630109641,12417107074,6.2694,18850372589,156000000000,189000000000,35212828828,50.3507,6.4769,29480732584,16821576260,139000000000,158000000000,29484469324,32743852834,2.8744,4.0448,6.995,9.3308,69.0319,68.4248,73.0446,112.6691,65977030000,12364300000,25838828000,65.2396,57941400706,217000000000,63.7236,2.9569,18.1741,14.5814,364143000,47180783.87,1430538266,228000000000,-159633000,49267840807,-1503354994,-8066999682,-1503356356,91792000,434800000,22743931.17,196.5853,108.9068,46783643800,9.2948,4.377,50.5923,113.0167,5.0805,12485312223,3924598323,18.5563,10.4952,37.2881,6,7652930084,15.902,28.1464,13674518993,5.0115,13674518993,28.0232,9.57,0,85530000,2.3803,1393883000,610523079.5,5.4714,4.72544,3.65599,2.8744,2.64486,3.37019,-7.5916,-6.21626,-5.65275,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.467874808,1.750105278,0.098365024,0.085784588,0.725787123,0.185288016,0.33928736,13.30121557,10.41271932
"Cuba",0,0,0,NA,NA,0,0,NA,NA,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3997623933,10889512906,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,0,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyprus",0,0,0,-0.01281783,-0.07087959,NA,NA,-0.720819311,-2.72333894,-0.50561534,-1.910273382,1,0,1,1,0.084302197,NA,1.4158,1.2412,NA,NA,NA,3.1631,NA,384156950.9,2390760000,-1.0379,23.7616,104.9276,NA,-12.196,-2594899444,822235665.6,NA,NA,NA,3.4392,280.3169,256.3967,NA,NA,NA,10284607547,NA,NA,NA,NA,13633268214,NA,NA,NA,NA,NA,NA,39.7874,12.8927,1017761438,10.5256,2239496592,5.7421,11855686656,6422025728,9066009600,21276719104,141.1706,4.3616,13871.6055,7514.015,24894.5727,3.2543,23498.8042,24788.8785,20083793522,21186385167,NA,NA,NA,NA,NA,NA,8793150464,20636352512,20548739830,1482928262,7957332452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11720956233,NA,NA,NA,NA,16214854178,2.3725,3.1211,3.3017,6.7408,211.8949,44.5599,67.429,138.5486,29478593362,1391071460,8635508680,47.1247,1637770000,19210410000,194.413,4.0552,19.7612,NA,NA,8138594.122,-13313479.85,20835250000,NA,3317928540,-1145237278,-272860000,-640366080,NA,1488252.677,-289714424.7,NA,NA,NA,NA,NA,193.8299,113.0767,3.5102,8801679285,3763623781,NA,NA,NA,NA,NA,NA,NA,6506542509,4.8152,6118598634,59.0566,NA,NA,370326000,0.8089,172106000,98673626.81,4.3616,3.69208,3.94822,2.3725,2.77044,2.66299,-12.196,-6.45784,-4.31406,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,NA,2.298172065,0.382022156,0.661168389,NA,NA
"Czech_Republic",0,0,0,-0.047235144,-0.142833208,-0.225867673,-0.180053005,-0.48221216,-2.611434859,-0.394539939,-2.136643236,1,1,1,1,0.102107066,12.6124,1.3176,1.3168,2.3992,-13.8457,NA,2.3416,2,-1742156945,183000000000,-2.5982,16.2739,105.5251,5,-3.2548,-5662004532,3458164937,NA,NA,NA,1.3237,53.2022,48.0166,3190000000000,80.173,14.6143,140000000000,78214532782,3020000000000,2830000000000,139000000000,147000000000,5.0318,26723000320,178000000000,8753174225,67.9405,NA,3.8571,5.1802,8963737281,5.3425,9293735302,0.9441,77105387934,2980000000000,3530000000000,174000000000,118.6271,5.9505,7461.2148,287969.3173,16833.3144,5.2838,22818.9295,24000.5178,236000000000,248000000000,20.3531,0.4691,14007280642,541000000000,719000000000,35405923030,3260000000000,161000000000,229000000000,123000000000,117000000000,27.0277,9.5734,32.0595,23.9027,25.8836,844000000000,41580672131,5.8916,38807995751,1500000000000,1710000000000,84114124275,75.1412,13.8391,131000000000,77522146364,2990000000000,2650000000000,131000000000,152000000000,2.9145,3.6179,4.4647,5.7884,73.3422,90.2154,81.3502,42.2056,73420080000,123000000000,118000000000,138.6587,1530000000000,2590000000000,69.1763,3.655,12.8164,NA,NA,1036917451,-894765105.4,1880000000000,NA,971000000000,-13462877170,-270000000000,-13313252082,NA,-268431949,-2687122972,NA,NA,NA,NA,NA,30.1004,136.9508,2.0947,17179618054,14396803977,NA,NA,NA,7,174000000000,NA,NA,34907225421,2.7517,34549550781,18.1517,5.31,NA,2624537000,0.766,1332446000,149667205,5.9505,5.42812,3.57222,2.9145,2.04644,3.3399,-3.2548,-3.75234,-3.90117,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2.939874105,1.68926706,0.255620124,0.278786098,0.532022246,0.109472952,-0.13843158,NA,NA
"Denmark",0,0,0,-0.07013672,-0.173220974,-0.113855269,-0.108033241,-0.435422702,-2.602754082,-0.314871553,-1.882155469,1,1,1,1,0.514516214,9.1052,2.5343,2.3297,1.3375,-2.7196,NA,0.3719,7,353224971.9,45617000000,-2.1695,38.4334,103.6365,4,0.7634,2378670141,4132874370,NA,NA,NA,NA,205.0747,202.3854,834000000000,52.1394,3.716,162000000000,99680097982,806000000000,884000000000,162000000000,197000000000,1.1477,-9893300000,19467000000,3575863336,75.4716,NA,17.4905,11.5997,-8144724906,3.8057,11857683141,6.4197,180000000000,1460000000000,1700000000000,312000000000,116.4254,1.7996,33003.046,266766.9211,57050.7902,1.3491,34904.7092,36129.7219,191000000000,197000000000,25.8914,1.693,45024433695,364000000000,439000000000,80672116091,1730000000000,317000000000,201000000000,100000000000,101000000000,23.3807,NA,24.5284,24.4877,24.0446,415000000000,76298677443,2.4592,91747844268,742000000000,841000000000,154000000000,50.9917,5.5959,155000000000,101000000000,816000000000,865000000000,159000000000,189000000000,1.714,1.5067,NA,NA,68.9749,66.3956,77.2251,89.1415,278000000000,103000000000,98646516680,64.6534,755000000000,1170000000000,65.2403,6.2626,12.1438,NA,NA,55379901.18,-5130036948,3480000000000,NA,240000000000,176037761.2,31262000000,5742468773,NA,3016703145,-7826492109,NA,NA,NA,NA,NA,24.4506,109.8167,NA,61608263045,53889197444,NA,NA,NA,9,28250188935,NA,NA,34318339306,2.1765,32534428630,37.0684,3.61,NA,3014760000,0.3298,1027740000,NA,1.7996,2.16836,2.0262,1.714,1.73274,2.06967,0.7634,2.7304,2.06715,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0,1.326632914,1.16747272,0.05556823,0.048876806,2.050747006,0.495417034,1.491594827,NA,NA
"Djibouti",0,1,1,NA,NA,0,0.001521555,NA,NA,NA,NA,0,1,0,0,0.00000254,NA,NA,NA,3.8553,NA,12.5922,1.8629,5,-15075748.87,4242691000,-0.1834,5.8515,NA,1,-20.956,-171352850.8,85864923.11,NA,41036000,44412000,3.1625,27.4743,23.3548,NA,59.1994,NA,306542276.9,NA,NA,86028000000,484062097.3,341737892.5,-20.8032,NA,-30231000000,-170103701.9,81.9294,32.1642,NA,NA,195351140.3,23.8909,195351140.3,NA,692641552.2,84360000000,145000000000,817680521.7,172.2606,4.264,831.5105,101273.4828,981.6187,2.4511,1938.4205,2052.6258,1614688739,1709820875,26.0434,NA,NA,NA,37846000000,212951761.5,159000000000,893013525.6,1867346876,58068545.64,473230513,38.8738,NA,18.0706,NA,NA,NA,NA,NA,NA,NA,84128000000,473371182.9,80.0026,NA,580978049.9,NA,NA,116000000000,654165799.2,592287912,NA,3.101,8.0775,11.24,81.2224,NA,NA,NA,NA,58068546,473230513,64.9764,67541034000,118000000000,78.0084,5.0261,8.5942,32.3911,13292000,35268763.96,79197168.6,39925351000,-23243000,95444312557,23885753.51,NA,NA,0,0,NA,90.9786,38.4422,325689050,12.008,4.5952,34.7446,NA,7.8942,248473731.3,107747536.9,4.735,3.4622,12.3727,1,NA,4.9733,27.9824,132137440,2.6772,132137440,43.5648,NA,16082000,4700000,3.5026,28640000,3544882.147,4.264,3.71304,2.59262,NA,NA,NA,-20.956,-2.73896,-0.92157,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0.274742814,-0.02548145,-0.253857079,18.93396626,19.94061764
"Dominica",0,0,0,NA,NA,-0.022393282,-0.05554786,NA,NA,NA,NA,0,1,0,0,0.261846855,NA,0.0541,1.9123,NA,NA,5.9728,12.1859,4,-1296791.923,-52544703,-0.7706,3.2904,105.6147,0,-26.2936,-89669959.63,26223947.78,12.2849,15323000,19504000,3.2581,56.6214,60.6926,NA,NA,NA,139795370.7,NA,NA,NA,NA,145999809.6,NA,NA,NA,NA,NA,0,35.2002,21.0193,46424234.07,13.6116,46420000,NA,305884856.1,606310000,920790000,341033333.3,151.8679,5.3884,4202.0943,8329.1857,4684.9466,4.8125,7812.623,8272.917,568707629.5,602214007.6,NA,NA,NA,NA,NA,NA,877430000,324974074.1,573855750.7,39782170,173978888.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233028015.6,NA,NA,NA,NA,255828992.6,3.1398,3.2133,5.9099,9.168,100.5114,54.1069,59.3466,NA,NA,36833000,195734000,68.1948,199028184,925499156,95.8736,5.6637,10.1668,62.5596,9586000,31135789.63,20159223.33,521364297,-3685000,439843358.1,-16596538.15,-43360000,-16059259.26,0,0,2476191.852,153.8002,89.6705,253651010,10.4952,4.7151,78.8965,88.8258,5.7693,100013200.7,59049126.67,37.6351,21.7453,104.1637,9,NA,6.0017,20.8761,60522068.71,2.8389,60522068.71,46.6413,NA,12149000,166000,7.6174,25978000,21508581.11,5.3884,4.08452,1.89991,3.1398,2.25182,1.60572,-26.2936,-21.8666,-19.18617,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,NA,NA,-0.100205729,-0.084770285,0.566214117,-0.176030643,-0.163308242,10.38450033,9.636534673
