DATE,FFR,Tbill,Tb1yr,r5,r10,PPINSA,Finished,CPI,CPICORE,M1NSA,M2SA,M2NSA,Unemp,IndProd,RGDP,Potent,Deflator,Curr
1963Q2,2.96,2.94,3.14,3.76,3.96,31.5,33.4,30.53,19.74,148.87,1127.8,374.63,5.73,26.83,3177.7,3199.4,19.233,35
1963Q3,3.33,3.29,3.53,3.91,4.03,31.63,33.4,30.72,19.82,150.13,1150.7,382.2,5.5,27.01,3237.6,3230.7,19.272,35.9
1963Q4,3.45,3.5,3.73,4.01,4.12,31.63,33.47,30.8,19.91,155.17,1173,392.5,5.57,27.46,3262.2,3262.5,19.418,36.9
1964Q1,3.46,3.53,3.83,4.08,4.18,31.67,33.47,30.93,20,154.97,1192.6,398.67,5.47,27.84,3335.4,3294.5,19.477,36.7
1964Q2,3.49,3.48,3.86,4.07,4.2,31.53,33.5,30.98,20.06,153.93,1213,403,5.2,28.49,3373.7,3326.8,19.529,37.2
1964Q3,3.46,3.5,3.77,4.05,4.19,31.63,33.57,31.05,20.12,156.27,1240.4,412.03,5,28.95,3419.5,3359.6,19.607,38.1
1964Q4,3.58,3.68,3.93,4.07,4.17,31.7,33.6,31.19,20.18,162.07,1265.8,423.7,4.97,29.39,3429,3393,19.703,39.1
1965Q1,3.97,3.89,4.01,4.13,4.2,31.87,33.67,31.29,20.25,161.83,1291.1,431.53,4.9,30.5,3513.3,3427.3,19.801,38.9
1965Q2,4.08,3.87,4.02,4.15,4.21,32.17,34.1,31.49,20.31,160.6,1312.6,436.1,4.67,31.2,3560.9,3462.3,19.887,39.2
1965Q3,4.07,3.87,4.08,4.2,4.25,32.4,34.2,31.58,20.38,162.3,1338.2,444.6,4.37,31.86,3633.2,3498.1,19.96,40.2
1965Q4,4.17,4.17,4.46,4.51,4.47,32.63,34.53,31.75,20.44,169.1,1367.5,457.8,4.1,32.5,3720.8,3534.9,20.088,41.5
1966Q1,4.56,4.61,4.93,4.92,4.77,33.1,34.9,32.05,20.55,170.37,1393.8,465.57,3.87,33.43,3812.2,3572.7,20.218,41.5
