Date,Open,High,Low,Close,Volume,Adj Close
7/4/16,206.220001,206.589996,204.130005,204.970001,7171700,204.970001
6/4/16,205.339996,207.539993,205.020004,207.479996,2896900,207.479996
5/4/16,205.75,206.270004,204.929993,205.259995,3061700,205.259995
4/4/16,207.919998,208.130005,206.949997,207.289993,3050800,207.289993
1/4/16,205.410004,208.199997,205.050003,207.970001,4127100,207.970001
31/3/16,206.960007,207.449997,206.380005,206.649994,4096900,206.649994
30/3/16,206.259995,207.910004,206.259995,207.130005,2760600,207.130005
29/3/16,203.809998,206.259995,203.429993,206.259995,3918000,206.259995
28/3/16,204.669998,204.880005,203.75,204.309998,2276600,204.309998
24/3/16,203.050003,204.199997,202.770004,204.179993,3282200,204.179993
23/3/16,205.130005,205.360001,204.050003,204.300003,2979600,204.300003
22/3/16,205.919998,207.399994,205.729996,206.75,4590400,206.75
21/3/16,206.25,207.110001,205.960007,206.869995,3560800,206.869995
18/3/16,206.380005,206.940002,205.960007,206.570007,6206800,206.570007
17/3/16,204.350006,206.330002,203.860001,205.809998,5140200,205.809998
16/3/16,202.639999,204.899994,202.589996,204.520004,3509500,204.520004
15/3/16,202.440002,203.279999,202.119995,203.220001,4197500,203.220001
14/3/16,203.25,204.130005,202.850006,203.559998,4574000,203.559998
11/3/16,202.320007,203.880005,202.199997,203.839996,2674500,203.839996
10/3/16,201,202.110001,198.460007,200.520004,3302300,200.520004
9/3/16,200.389999,200.800003,199.449997,200.410004,3236400,200.410004
8/3/16,200.369995,200.960007,199.25,199.380005,3304500,199.380005
7/3/16,200.410004,202.119995,200.289993,201.679993,3868300,201.679993
4/3/16,201.080002,202.399994,200.100006,201.479996,3450500,201.479996
3/3/16,199.789993,200.830002,199.139999,200.779999,2885000,200.779999
2/3/16,198.720001,200.089996,198.279999,200.070007,4427900,200.070007
1/3/16,196.020004,199.210007,195.470001,199.190002,5126200,199.190002
29/2/16,196.139999,197.25,194.419998,194.509995,3502500,194.509995
26/2/16,197.580002,197.679993,195.889999,196.149994,3580500,196.149994
