"Index","Mkt.RF","SMB","HML","RMW","CMA","RF","RFJ","JPY.r","Mkt.RFJ","SMBJ","HMLJ","RMWJ","CMAJ"
"1990-07-31",0.001,0.0627,0.0363,0.006,0.0024,0.0068,0.00607922729905752,0.0425648395264491,-0.039424721227512,0.0601401444043321,0.0348179783393502,0.00575503774204135,0.00230201509681654
"1990-08-31",-0.1188,-0.0497,0.0033,0.0171,-0.0096,0.0066,0.0065659517715726,0.0152852080872645,-0.132131858840621,-0.0489517621296106,0.00325031820981318,0.0168425579963047,-0.00945547115582016
"1990-09-30",-0.1738,0.0064,0.0014,-0.0112,-0.0011,0.006,0.00686324141710237,0.0409344037029,-0.207389233218672,0.00614832210102133,0.00134494545959842,-0.0107595636767873,-0.00105674286111304
"1990-10-31",0.249,0.0071,-0.0455,-0.0012,0.0475,0.0068,0.00613923583058362,0.0640246248557139,0.17409660708545,0.00667277789831489,-0.0427621682215954,-0.00112779344760252,0.0446418239675996
"1990-11-30",-0.1412,-0.052,-0.002,0.0386,-0.0218,0.0057,0.00613144473894756,-0.0236664162283998,-0.120675884908243,-0.0532604848018469,-0.00204848018468642,0.0395356675644479,-0.022328434013082
"1990-12-31",0.0193,-0.0611,-0.0361,0.0123,0.0187,0.006,0.00576529499923151,-0.0195211786372007,0.0399482662329247,-0.0623164913598798,-0.0368187453042825,0.0125448910593539,0.0190723140495868
"1991-01-31",0.0119,-0.0773,0.0024,0.0218,0.0068,0.0052,0.00572460800374852,0.0327120578166604,-0.0208421402321094,-0.0748514548802947,0.00232397790055249,0.0211094659300184,0.00658460405156538
"1991-02-28",0.1229,0.1132,0.008,-0.0569,0.0074,0.0048,0.00554207630141645,-0.0112824370063934,0.135026314721786,0.114491745910993,0.0080912894636744,-0.0575492963103842,0.00748444275389882
"1991-03-31",-0.0421,0.038,0.004,0.0167,-0.0126,0.0044,0.0056682422558394,-0.0544096728307255,0.0120029123135474,0.040186536291839,0.00423016171493043,0.0176609251598345,-0.0133250094020308
"1991-04-30",0.0218,0.0141,0.015,0.0065,-0.0048,0.0053,0.00582003737952963,0.0309429535122452,-0.0095476476213503,0.01367679943101,0.014549786628734,0.00630490753911807,-0.00465593172119488
"1991-05-31",-0.0203,-0.0074,0.004,0.0075,-0.0012,0.0047,0.00569094930623293,-0.0149512459371614,-0.00634955027411688,-0.00751231852177739,0.00406071271447426,0.00761383633963924,-0.00121821381434228
"1991-06-30",-0.0709,0.0158,0.0357,0.0136,0.0029,0.0042,0.00587240297911862,0.00398839738941237,-0.0762799869444488,0.0157372336583604,0.0355581798483207,0.0135459732755507,0.00288847959552185
"1991-07-31",0.0139,-0.0325,0.01,0.0087,0.003,0.0049,0.00553188138676064,0.0034929413476934,0.0097218967133117,-0.032386874546773,0.00996519216823785,0.00866971718636693,0.00298955765047136
"1991-08-31",-0.0724,-0.0512,-0.0084,-0.0004,0.0007,0.0046,0.00515701791270429,0.00416514431859705,-0.0768236603228338,-0.0509876291660603,-0.00836515791005676,-0.000398340852859846,0.00069709649250473
"1991-09-30",0.0866,0.0179,0.0008,-0.0251,0.0145,0.0046,0.00463420565965511,0.0301091456529921,0.0546710190389199,0.0173767994154183,0.000776616733649982,-0.0243663500182682,0.0140761782974059
"1991-10-31",0.0406,0.0215,-0.0342,-0.0229,0.0006,0.0042,0.00447090549203288,0.0172281776416539,0.0226339496077037,0.0211358675197591,-0.0336207753105006,-0.0225121565675574,0.000589838163342115
"1991-11-30",-0.0852,-0.0256,-0.0035,0.0011,0.004,0.0039,0.00445424197411581,0.00399753997539953,-0.0894121592788628,-0.0254980704441041,-0.00348606431852986,0.0010956202143951,0.00398407350689127
"1991-12-31",0.025,0.0098,-0.0009,-0.0021,0.0138,0.0038,0.00409882385245774,0.0414731785428344,-0.0162673355375748,0.00940974784747847,-0.000864160516605166,-0.00201637453874539,0.0132504612546125
"1992-01-31",-0.0567,-0.0093,0.0191,0.0084,0.0107,0.0034,0.00370521872071317,-0.00517722023098344,-0.0520784372955733,-0.00934839871897518,0.0191993995196157,0.00844371497197758,0.0107556845476381
"1992-02-29",-0.0722,0.0301,-0.007,0.0107,0.0251,0.0028,0.00383714178138872,-0.0278745644599304,-0.0465532708136468,0.030963082437276,-0.00720071684587814,0.0110068100358423,0.0258197132616487
"1992-03-31",-0.1145,-0.0111,0.0231,0.0113,-0.0063,0.0034,0.00375561185483475,-0.0283629250677098,-0.0889078534343937,-0.011424018583043,0.0237743089430894,0.0116298567557104,-0.00648390243902439
"1992-04-30",-0.077,-0.0344,0.0545,0.0467,0.0095,0.0032,0.00357630967891565,-0.00285071267816983,-0.0747284312558036,-0.0344983448690942,0.054655808004815,0.0468335088775203,0.00952715919349985
"1992-05-31",0.0873,0.0538,-0.0241,-0.0136,-0.0019,0.0028,0.00375801083385396,0.043444227005871,0.0409552299763483,0.0515600150037509,-0.0230965866466617,-0.0130337584396099,-0.0018208927231808
"1992-06-30",-0.0905,0.0013,0.0249,0.0235,0.0112,0.0032,0.00350015980532437,0.0149360451259237,-0.104231674482428,0.00128086888454012,0.0245335655577299,0.023154168297456,0.0110351780821918
"1992-07-31",-0.0327,-0.0571,-0.0112,-0.0302,0.0436,0.0031,0.00297419563553003,-0.0116215155084414,-0.0211640740815456,-0.05777139111782,-0.0113316914276635,-0.030555096528164,0.0441126559148328
"1992-08-31",0.1637,-0.0518,-0.0659,-0.0442,0.001,0.0026,0.00295322291876032,0.0357869052460349,0.123050585483281,-0.0500102866117,-0.0636231252453867,-0.0426728700431881,0.000965449548488418
