"Index","Mkt.RF","SMB","HML","RF","RFJ","JPY.r","Mkt.RFJ","SMBJ","HMLJ"
"1990-07-31",0.001,0.06,0.0363,0.0068,0.00607922729905752,0.0425648395264491,-0.039424721227512,0.0575503774204135,0.0348179783393502
"1990-08-31",-0.1188,-0.0497,0.0033,0.0066,0.0065659517715726,0.0152852080872645,-0.132131858840621,-0.0489517621296106,0.00325031820981318
"1990-09-30",-0.1738,0.0067,0.0014,0.006,0.00686324141710237,0.0409344037029,-0.207389233218672,0.00643652469950671,0.00134494545959842
"1990-10-31",0.249,0.0121,-0.0455,0.0068,0.00613923583058362,0.0640246248557139,0.17409660708545,0.0113719172633254,-0.0427621682215954
"1990-11-30",-0.1412,-0.0553,-0.002,0.0057,0.00613144473894756,-0.0236664162283998,-0.120675884908243,-0.0566404771065795,-0.00204848018468642
"1990-12-31",0.0193,-0.0586,-0.0361,0.006,0.00576529499923151,-0.0195211786372007,0.0399482662329247,-0.0597667167543201,-0.0368187453042825
"1991-01-31",0.0119,-0.0756,0.0024,0.0052,0.00572460800374852,0.0327120578166604,-0.0208421402321094,-0.0732053038674033,0.00232397790055249
"1991-02-28",0.1229,0.1115,0.008,0.0048,0.00554207630141645,-0.0112824370063934,0.135026314721786,0.112772346899962,0.0080912894636744
"1991-03-31",-0.0421,0.0363,0.004,0.0044,0.0056682422558394,-0.0544096728307255,0.0120029123135474,0.0383887175629936,0.00423016171493043
"1991-04-30",0.0218,0.0141,0.015,0.0053,0.00582003737952963,0.0309429535122452,-0.0095476476213503,0.01367679943101,0.014549786628734
"1991-05-31",-0.0203,-0.0079,0.004,0.0047,0.00569094930623293,-0.0149512459371614,-0.00634955027411688,-0.00801990761108667,0.00406071271447426
"1991-06-30",-0.0709,0.0117,0.0357,0.0042,0.00587240297911862,0.00398839738941237,-0.0762799869444488,0.0116535211267606,0.0355581798483207
"1991-07-31",0.0139,-0.0351,0.01,0.0049,0.00553188138676064,0.0034929413476934,0.0097218967133117,-0.0349778245105149,0.00996519216823785
"1991-08-31",-0.0724,-0.0495,-0.0084,0.0046,0.00515701791270429,0.00416514431859705,-0.0768236603228338,-0.0492946805414059,-0.00836515791005676
"1991-09-30",0.0866,0.0178,0.0008,0.0046,0.00463420565965511,0.0301091456529921,0.0546710190389199,0.0172797223237121,0.000776616733649982
"1991-10-31",0.0406,0.0212,-0.0342,0.0042,0.00447090549203288,0.0172281776416539,0.0226339496077037,0.0208409484380881,-0.0336207753105006
"1991-11-30",-0.0852,-0.023,-0.0035,0.0039,0.00445424197411581,0.00399753997539953,-0.0894121592788628,-0.0229084226646248,-0.00348606431852986
"1991-12-31",0.025,0.01,-0.0009,0.0038,0.00409882385245774,0.0414731785428344,-0.0162673355375748,0.00960178351783518,-0.000864160516605166
"1992-01-31",-0.0567,-0.0117,0.0191,0.0034,0.00370521872071317,-0.00517722023098344,-0.0520784372955733,-0.0117608887109688,0.0191993995196157
"1992-02-29",-0.0722,0.0299,-0.007,0.0028,0.00383714178138872,-0.0278745644599304,-0.0465532708136468,0.0307573476702509,-0.00720071684587814
"1992-03-31",-0.1145,-0.0122,0.0231,0.0034,0.00375561185483475,-0.0283629250677098,-0.0889078534343937,-0.0125561285327139,0.0237743089430894
"1992-04-30",-0.077,-0.0398,0.0545,0.0032,0.00357630967891565,-0.00285071267816983,-0.0747284312558036,-0.039913782726452,0.054655808004815
"1992-05-31",0.0873,0.0515,-0.0241,0.0028,0.00375801083385396,0.043444227005871,0.0409552299763483,0.049355776444111,-0.0230965866466617
"1992-06-30",-0.0905,-0.0006,0.0249,0.0032,0.00350015980532437,0.0149360451259237,-0.104231674482428,-0.000591170254403131,0.0245335655577299
"1992-07-31",-0.0327,-0.0569,-0.0112,0.0031,0.00297419563553003,-0.0116215155084414,-0.0211640740815456,-0.0575690394851831,-0.0113316914276635
"1992-08-31",0.1637,-0.0509,-0.0659,0.0026,0.00295322291876032,0.0357869052460349,0.123050585483281,-0.0491413820180605,-0.0636231252453867
"1992-09-30",-0.0286,0.0361,-0.0014,0.0026,0.00288785389671098,0.0245833333333334,-0.0522575163611274,0.0352338348922326,-0.00136640910939406
"1992-10-31",-0.0539,-0.0176,0.0118,0.0023,0.00274161277124274,-0.02676399026764,-0.0282606127712426,-0.018084,0.0121245
"1992-11-30",0.0185,-0.0321,-0.014,0.0023,0.00281193474753327,-0.00900176820446874,0.0272605388939915,-0.0323915815085158,-0.0141271695052717
"1992-12-31",-0.0103,0.021,0.0233,0.0028,0.00279254099919224,-0.00344413295955137,-0.0068624252621724,0.0210725767561485,0.0233805256389648
"1993-01-31",-0.0087,-0.0167,0.0028,0.0023,0.00261133343887576,-0.000960230455309352,-0.00805633143647277,-0.0167160512615138,0.00280269122947537
"1993-02-28",0.0435,0.0209,-0.0016,0.0022,0.00238106898683377,0.0581710414902625,-0.0141665374992768,0.0197510602544611,-0.00151204289029367
"1993-03-31",0.1584,0.0026,0.037,0.0025,0.00265505036876146,0.0278503046127068,0.126789572831916,0.00252955122777307,0.0359974597798476
"1993-04-30",0.1668,0.0107,0.0381,0.0024,0.00253194171013194,0.0326233486114857,0.129729885966108,0.0103619582245431,0.036896318537859
"1993-05-31",0.0496,0.1226,-0.0183,0.0022,0.00259432674634197,0.0382569748996919,0.0104496743321161,0.118082519996405,-0.0176256942572122
"1993-06-30",-0.0419,-0.0264,-0.0267,0.0025,0.00240623179286059,0.00346441947565546,-0.0451226636301286,-0.0263088550900439,-0.0266078193524307
